Maha Season,Sown 000 Acres,Sown 000 Ha,Harvested 000 Acres,Harvested 000 Ha.,Average Yield Bushels/Acre,Average Yield Kg/Ha,Production 000 Bushels,Production 000 Mt.
1951/52,738,299,700,283,30.85,1591,18400,385
1952/53,655,265,586,237,26.44,1363,13200,276
1953/54,770,312,743,301,30.07,1550,19300,403
1954/55,825,334,793,321,32.15,1658,21700,454
1955/56,823,333,724,293,30.85,1591,19400,405
1956/57,780,316,728,295,32.69,1685,20200,422
1957/58,841,340,716,290,34.06,1756,21200,443
1958/59,848,343,759,307,34.04,1755,21900,458
1959/60,921,373,857,347,36.1,1861,26300,550
1960/61,934,378,888,360,35.93,1853,27100,566
1961/62,958,388,936,379,38.02,1960,30200,631
1962/63,1000,405,982,398,37.84,1951,31600,660
1963/64,1014,411,980,397,38.6,1990,32148,672
1964/65,985,399,796,322,34.11,1759,23070,482
1965/66,1050,425,1007,408,35.91,1852,30739,642
1966/67,1054,427,1006,407,40.85,2106,34945,730
1967/68,1147,464,1078,436,47.49,2449,43500,909
1968/69,1182,479,1079,437,51.23,2641,46966,982
1969/70,1191,482,1115,451,52.21,2692,49492,1034
1970/71,1147,464,1089,441,44.9,2315,41560,869
1971/72,1186,480,1035,419,48.09,2480,42327,885
1972/73,1176,476,1085,439,45.54,2348,42004,878
1973/74,1318,534,1288,521,47.72,2460,52629,1100
1974/75,1096,444,875,354,46.25,2385,34458,720
1975/76,1147,464,1052,426,47.17,2432,42278,884
1976/77,1329,538,1250,506,51.56,2658,54833,1146
1977/78,1421,575,1366,553,53.02,2734,61626,1288
1978/79,1428,578,1361,551,54.7,2820,66764,1395
1979/80,1417,573,1382,554,57.23,2951,69653,1453
1980/81,1474,597,1410,565,58.29,3005,72961,1522
1981/82,1402,567,1183,478,61.1,3150,65313,1363
1982/83,1440,583,1381,558,70.55,3638,85594,1786
1983/84,1499,606,1258,509,58.79,3031,65154,1353
1984/85,1405,569,1382,559,67.84,3498,83927,1751
1985/86,1372,555,1302,527,69.54,3585,80817,1688
1986/87,1255,508,1069,433,71.33,3678,66741,1392
1987/88,1346,545,1232,499,66.71,3440,73077,1525
1988/89,1159,469,1087,440,66.5,3429,64343,1342
1989/90,1303,527,1283,516,69.13,3564,78968,1647
1990/91,1237,501,1193,483,70.21,3620,74485,1554
1991/92,1355,548,1292,523,68.12,3512,78155,1630
1992/93,1348,546,1330,538,68.2,3516,81124,1692
1993/94,1436,581,1385,561,64.87,3345,80054,1670
1994/95,1400,567,1357,549,69.89,3604,84407,1761
1995/96,1233,499,1051,425,68.54,3534,63807,1331
1996/97,1169,473,1095,443,71.19,3671,69837,1457
1997/98,1418,574,1391,563,68.95,3555,85366,1781
1998/99,1351,547,1331,539,70.06,3612,83196,1736
1999/00,1357,549,1300,526,73.65,3798,85374,1781
2000/01,1184,479,1163,471,74.86,3860,77304,1613
2001/02,1261,510,1232,499,77.39,3990,85002,1774
2002/03,1487,602,1383,560,73.58,3794,90806,1895
2003/04,1287,521,1159,469,77.62,4002,80022,1670
2004/05,1435,581,1408,570,76.7,3955,96461,2013
2005/06,1461,591,1448,586,78.92,4069,102349,2135
2006/07,1298,525,1265,512,83.38,4299,94554,1973
2007/08,1437,582,1404,568,81.08,4175,101852,2125
2008/09,1562,632,1495,604,85.74,4421,114254,2384
2009/10,1596,646,1590,643,88.88,4583,126024,2630
2010/11,1804,731,1515,613,71.3,3668,95655,1996
2011/12,1734,702,1692,684,86.2,4444,130212,2717
